y,x,pubs
28.0,-12.0,0
28.0,-11.0,0
28.0,-10.0,2
28.0,-9.0,0
28.0,-8.0,0
28.0,-7.0,0
28.0,-6.0,0
28.0,-5.0,0
28.0,-4.0,0
28.0,-3.0,0
28.0,-2.0,0
28.0,-1.0,0
28.0,0.0,0
28.0,1.0,0
28.0,2.0,0
28.0,3.0,0
28.0,4.0,0
28.0,5.0,0
28.0,6.0,0
28.0,7.0,0
28.0,8.0,0
28.0,9.0,0
28.0,10.0,0
28.0,11.0,0
28.0,12.0,0
28.0,13.0,0
28.0,14.0,0
28.0,15.0,0
28.0,16.0,0
28.0,17.0,0
28.0,18.0,0
28.0,19.0,0
28.0,20.0,0
28.0,21.0,0
28.0,22.0,0
28.0,23.0,0
28.0,24.0,0
28.0,25.0,0
28.0,26.0,0
28.0,27.0,0
28.0,28.0,0
28.0,29.0,0
28.0,30.0,0
28.0,31.0,0
28.0,32.0,0
28.0,33.0,0
29.0,-12.0,0
29.0,-11.0,1
29.0,-10.0,0
29.0,-9.0,0
29.0,-8.0,0
29.0,-7.0,0
29.0,-6.0,0
29.0,-5.0,0
29.0,-4.0,0
29.0,-3.0,0
29.0,-2.0,0
29.0,-1.0,0
29.0,0.0,0
29.0,1.0,0
29.0,2.0,0
29.0,3.0,0
29.0,4.0,0
29.0,5.0,0
29.0,6.0,0
29.0,7.0,0
29.0,8.0,0
29.0,9.0,0
29.0,10.0,0
29.0,11.0,0
29.0,12.0,0
29.0,13.0,0
29.0,14.0,0
29.0,15.0,1
29.0,16.0,0
29.0,17.0,0
29.0,18.0,0
29.0,19.0,0
29.0,20.0,1
29.0,21.0,0
29.0,22.0,0
29.0,23.0,0
29.0,24.0,0
29.0,25.0,0
29.0,26.0,0
29.0,27.0,0
29.0,28.0,0
29.0,29.0,0
29.0,30.0,0
29.0,31.0,3
29.0,32.0,0
29.0,33.0,0
30.0,-12.0,0
30.0,-11.0,0
30.0,-10.0,1
30.0,-9.0,1
30.0,-8.0,0
30.0,-7.0,0
30.0,-6.0,0
30.0,-5.0,0
30.0,-4.0,0
30.0,-3.0,0
30.0,-2.0,0
30.0,-1.0,0
30.0,0.0,0
30.0,1.0,0
30.0,2.0,0
30.0,3.0,0
30.0,4.0,0
30.0,5.0,0
30.0,6.0,0
30.0,7.0,0
30.0,8.0,0
30.0,9.0,0
30.0,10.0,0
30.0,11.0,0
30.0,12.0,0
30.0,13.0,0
30.0,14.0,0
30.0,15.0,1
30.0,16.0,0
30.0,17.0,0
30.0,18.0,0
30.0,19.0,0
30.0,20.0,0
30.0,21.0,0
30.0,22.0,0
30.0,23.0,0
30.0,24.0,0
30.0,25.0,0
30.0,26.0,0
30.0,27.0,0
30.0,28.0,0
30.0,29.0,0
30.0,30.0,0
30.0,31.0,22
30.0,32.0,1
30.0,33.0,0
31.0,-12.0,0
31.0,-11.0,0
31.0,-10.0,1
31.0,-9.0,1
31.0,-8.0,1
31.0,-7.0,0
31.0,-6.0,0
31.0,-5.0,0
