y,x,bar,pub,ice_cream,charging_station,cinema,theatre,supermarket,church,mosque,synagogue,hotel,museum
28.0,-12.0,0,0,0,0,1,0,0,0,4,0,15,0
28.0,-11.0,0,0,0,0,0,0,0,0,1,0,4,0
28.0,-10.0,0,2,0,0,0,0,0,0,1,0,1,3
28.0,-9.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,-8.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,-7.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,-6.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,-5.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,-4.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,-3.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,-2.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,-1.0,0,0,0,0,0,0,0,0,1,0,1,0
28.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,7.0,0,0,0,0,0,0,0,0,0,0,1,0
28.0,8.0,0,0,0,0,0,0,0,0,1,0,0,0
28.0,9.0,0,0,0,0,1,0,0,0,1,0,0,0
28.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,17.0,0,0,0,0,0,0,0,0,1,0,1,0
28.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,21.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,23.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,24.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,26.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,27.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,28.0,0,0,0,0,0,0,0,0,0,0,11,0
28.0,29.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,30.0,0,0,0,0,0,1,0,0,1,0,8,1
28.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,32.0,0,0,0,0,0,0,0,0,0,0,1,0
28.0,33.0,0,0,0,0,0,0,0,2,1,0,21,7
29.0,-12.0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,-11.0,0,1,0,0,0,0,0,0,2,0,26,0
29.0,-10.0,0,0,0,0,0,0,0,1,4,0,21,0
29.0,-9.0,0,0,0,0,0,0,0,0,2,0,26,3
29.0,-8.0,0,0,0,0,0,0,0,0,0,0,7,0
29.0,-7.0,0,0,0,0,0,0,0,0,0,0,3,0
29.0,-6.0,0,0,0,0,0,0,0,0,0,0,15,1
29.0,-5.0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,-4.0,0,0,0,0,0,0,0,0,2,0,0,0
29.0,-3.0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,-2.0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,0.0,0,0,0,0,0,1,0,0,4,0,7,1
29.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,9.0,0,0,0,0,0,0,0,0,1,0,0,0
29.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,14.0,0,0,0,0,0,0,0,0,2,0,0,0
29.0,15.0,0,1,0,0,0,0,0,0,7,0,3,0
29.0,16.0,0,0,0,0,0,0,0,0,1,0,0,0
29.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,20.0,0,1,0,0,0,0,0,0,0,0,0,0
29.0,21.0,0,0,0,0,1,0,0,0,4,0,5,0
29.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,23.0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,24.0,0,0,0,0,0,0,0,0,1,0,0,0
29.0,25.0,0,0,0,0,0,0,0,0,1,0,18,2
29.0,26.0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,27.0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,28.0,0,0,0,0,0,0,0,0,1,0,0,0
29.0,29.0,0,0,0,0,0,0,0,0,0,0,0,0
29.0,30.0,0,0,0,1,2,1,0,0,6,0,7,2
29.0,31.0,4,3,1,1,6,3,0,12,12,0,56,10
29.0,32.0,4,0,0,0,1,0,28,0,4,0,61,2
29.0,33.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,-12.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,-11.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,-10.0,25,1,3,1,2,3,2,0,31,0,143,2
30.0,-9.0,2,1,0,0,0,0,0,1,17,0,39,1
30.0,-8.0,0,0,0,0,0,0,0,0,10,0,22,0
30.0,-7.0,0,0,0,1,0,0,0,1,12,1,68,5
30.0,-6.0,0,0,0,0,0,0,0,0,6,0,34,1
30.0,-5.0,0,0,0,0,0,0,0,0,0,0,10,0
30.0,-4.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,-3.0,0,0,0,0,0,1,0,0,2,0,9,1
30.0,-2.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,2.0,0,0,1,0,0,1,0,1,4,0,9,4
30.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,9.0,0,0,0,0,0,0,0,0,0,0,4,0
30.0,10.0,0,0,0,0,0,0,0,0,1,0,1,0
30.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,13.0,0,0,0,0,0,0,0,0,1,0,0,0
30.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0
