y,x,value
54.0,8.0,0
54.0,8.2,0
54.0,8.4,0
54.0,8.6,0
54.0,8.8,3
54.0,9.0,5
54.0,9.2,3
54.0,9.4,1
54.0,9.6,2
54.0,9.8,4
54.0,10.0,4
54.0,10.2,3
54.0,10.4,4
54.0,10.6,4
54.0,10.8,6
54.0,11.0,0
54.0,11.2,0
54.0,11.4,1
54.0,11.6,7
54.0,11.8,4
54.0,12.0,12
54.0,12.2,3
54.0,12.4,2
54.0,12.6,3
54.0,12.8,3
54.2,8.0,0
54.2,8.2,0
54.2,8.4,0
54.2,8.6,3
54.2,8.8,6
54.2,9.0,5
54.2,9.2,1
54.2,9.4,1
54.2,9.6,10
54.2,9.8,2
54.2,10.0,18
54.2,10.2,6
54.2,10.4,2
54.2,10.6,0
54.2,10.8,4
54.2,11.0,3
54.2,11.2,0
54.2,11.4,0
54.2,11.6,0
54.2,11.8,0
54.2,12.0,0
54.2,12.2,5
54.2,12.4,8
54.2,12.6,7
54.2,12.8,0
54.4,8.0,0
54.4,8.2,0
54.4,8.4,1
54.4,8.6,3
54.4,8.8,1
54.4,9.0,9
54.4,9.2,3
54.4,9.4,9
54.4,9.6,4
54.4,9.8,6
54.4,10.0,0
54.4,10.2,3
54.4,10.4,2
54.4,10.6,0
54.4,10.8,0
54.4,11.0,6
54.4,11.2,0
54.4,11.4,0
54.4,11.6,0
54.4,11.8,2
54.4,12.0,0
54.4,12.2,0
54.4,12.4,5
54.4,12.6,3
54.4,12.8,0
54.6,8.0,0
54.6,8.2,4
54.6,8.4,2
54.6,8.6,0
54.6,8.8,8
54.6,9.0,0
54.6,9.2,1
54.6,9.4,9
54.6,9.6,5
54.6,9.8,4
54.6,10.0,0
54.6,10.2,0
54.6,10.4,0
54.6,10.6,2
54.6,10.8,0
54.6,11.0,1
54.6,11.2,0
54.6,11.4,4
54.6,11.6,2
54.6,11.8,9
54.6,12.0,0
54.6,12.2,0
54.6,12.4,0
54.6,12.6,0
54.6,12.8,0
54.8,8.0,0
54.8,8.2,5
54.8,8.4,0
54.8,8.6,4
54.8,8.8,5
54.8,9.0,2
54.8,9.2,3
54.8,9.4,10
54.8,9.6,6
54.8,9.8,5
54.8,10.0,0
54.8,10.2,1
54.8,10.4,7
54.8,10.6,5
54.8,10.8,1
54.8,11.0,5
54.8,11.2,1
54.8,11.4,1
54.8,11.6,1
54.8,11.8,2
54.8,12.0,3
54.8,12.2,3
54.8,12.4,1
54.8,12.6,0
