y,x,museums,hotels
54.0,8.0,0,0
54.0,8.2,0,0
54.0,8.4,0,0
54.0,8.6,0,0
54.0,8.8,3,36
54.0,9.0,5,6
54.0,9.2,3,3
54.0,9.4,1,1
54.0,9.6,2,3
54.0,9.8,4,12
54.0,10.0,4,5
54.0,10.2,3,9
54.0,10.4,4,18
54.0,10.6,4,34
54.0,10.8,6,24
54.0,11.0,0,5
54.0,11.2,0,0
54.0,11.4,1,3
54.0,11.6,7,70
54.0,11.8,4,21
54.0,12.0,12,79
54.0,12.2,3,10
54.0,12.4,2,9
54.0,12.6,3,1
54.0,12.8,3,1
54.2,8.0,0,0
54.2,8.2,0,0
54.2,8.4,0,0
54.2,8.6,3,36
54.2,8.8,6,11
54.2,9.0,5,8
54.2,9.2,1,2
54.2,9.4,1,4
54.2,9.6,10,18
54.2,9.8,2,3
54.2,10.0,18,44
54.2,10.2,6,10
54.2,10.4,2,6
54.2,10.6,0,15
54.2,10.8,4,16
54.2,11.0,3,6
54.2,11.2,0,0
54.2,11.4,0,0
54.2,11.6,0,0
54.2,11.8,0,0
54.2,12.0,0,1
54.2,12.2,5,27
54.2,12.4,8,22
54.2,12.6,7,6
54.2,12.8,0,3
54.4,8.0,0,0
54.4,8.2,0,0
54.4,8.4,1,5
54.4,8.6,3,3
54.4,8.8,1,9
54.4,9.0,9,12
54.4,9.2,3,4
54.4,9.4,9,17
54.4,9.6,4,6
54.4,9.8,6,11
54.4,10.0,0,8
54.4,10.2,3,8
54.4,10.4,2,3
54.4,10.6,0,0
54.4,10.8,0,0
54.4,11.0,6,8
54.4,11.2,0,6
54.4,11.4,0,0
54.4,11.6,0,0
54.4,11.8,2,1
54.4,12.0,0,0
54.4,12.2,0,0
54.4,12.4,5,25
54.4,12.6,3,14
54.4,12.8,0,1
54.6,8.0,0,0
54.6,8.2,4,20
54.6,8.4,2,20
54.6,8.6,0,6
54.6,8.8,8,15
54.6,9.0,0,1
54.6,9.2,1,6
54.6,9.4,9,18
54.6,9.6,5,8
54.6,9.8,4,16
54.6,10.0,0,2
54.6,10.2,0,0
54.6,10.4,0,0
54.6,10.6,2,2
54.6,10.8,0,0
54.6,11.0,1,0
54.6,11.2,0,0
54.6,11.4,4,3
54.6,11.6,2,2
54.6,11.8,9,3
54.6,12.0,0,0
54.6,12.2,0,0
54.6,12.4,0,0
54.6,12.6,0,0
54.6,12.8,0,0
54.8,8.0,0,0
54.8,8.2,5,61
54.8,8.4,0,2
54.8,8.6,4,7
54.8,8.8,5,6
54.8,9.0,2,0
54.8,9.2,3,1
54.8,9.4,10,19
54.8,9.6,6,7
54.8,9.8,5,4
54.8,10.0,0,0
54.8,10.2,1,2
54.8,10.4,7,7
54.8,10.6,5,8
54.8,10.8,1,1
54.8,11.0,5,3
54.8,11.2,1,0
54.8,11.4,1,2
54.8,11.6,1,0
54.8,11.8,2,0
54.8,12.0,3,1
54.8,12.2,3,3
54.8,12.4,1,1
54.8,12.6,0,0
54.8,12.8,0,0
55.0,8.0,0,0
55.0,8.2,0,0
55.0,8.4,6,7
55.0,8.6,3,2
55.0,8.8,2,0
55.0,9.0,0,2
55.0,9.2,1,3
55.0,9.4,6,6
55.0,9.6,3,2
55.0,9.8,2,1
55.0,10.0,1,2
55.0,10.2,6,4
55.0,10.4,10,2
55.0,10.6,9,7
55.0,10.8,5,0
55.0,11.0,0,0
55.0,11.2,0,0
55.0,11.4,0,0
55.0,11.6,4,0
55.0,11.8,2,1
55.0,12.0,1,3
55.0,12.2,0,0
55.0,12.4,0,1
55.0,12.6,0,0
55.0,12.8,0,0
55.2,8.0,0,0
55.2,8.2,0,0
55.2,8.4,6,1
55.2,8.6,6,6
55.2,8.8,1,1
55.2,9.0,1,2
55.2,9.2,5,1
55.2,9.4,8,3
55.2,9.6,0,1
55.2,9.8,5,3
55.2,10.0,6,3
55.2,10.2,10,15
55.2,10.4,5,1
55.2,10.6,3,0
55.2,10.8,0,3
55.2,11.0,4,4
55.2,11.2,4,4
55.2,11.4,2,3
55.2,11.6,9,4
55.2,11.8,2,1
55.2,12.0,1,1
55.2,12.2,2,3
55.2,12.4,5,0
55.2,12.6,0,0
55.2,12.8,2,0
55.4,8.0,3,1
55.4,8.2,2,5
55.4,8.4,11,7
55.4,8.6,2,0
55.4,8.8,1,6
55.4,9.0,3,4
55.4,9.2,3,1
55.4,9.4,8,10
55.4,9.6,9,12
55.4,9.8,1,1
55.4,10.0,2,2
55.4,10.2,5,5
55.4,10.4,4,0
55.4,10.6,10,1
55.4,10.8,0,0
55.4,11.0,3,0
55.4,11.2,2,1
55.4,11.4,3,1
55.4,11.6,1,1
55.4,11.8,1,3
55.4,12.0,4,4
55.4,12.2,1,1
55.4,12.4,0,0
55.4,12.6,7,4
55.4,12.8,6,8
55.6,8.0,0,4
55.6,8.2,2,4
55.6,8.4,2,2
55.6,8.6,4,1
55.6,8.8,2,4
55.6,9.0,3,7
55.6,9.2,8,5
55.6,9.4,3,8
55.6,9.6,1,3
55.6,9.8,1,1
55.6,10.0,1,1
55.6,10.2,1,0
55.6,10.4,0,0
55.6,10.6,0,0
55.6,10.8,1,0
55.6,11.0,1,5
55.6,11.2,1,1
55.6,11.4,2,1
55.6,11.6,5,3
55.6,11.8,6,3
55.6,12.0,10,5
55.6,12.2,11,7
55.6,12.4,76,139
55.6,12.6,7,13
55.6,12.8,4,21
55.8,8.0,5,2
55.8,8.2,7,0
55.8,8.4,5,3
55.8,8.6,0,1
55.8,8.8,1,2
55.8,9.0,1,2
55.8,9.2,1,1
55.8,9.4,3,1
55.8,9.6,0,2
55.8,9.8,7,5
55.8,10.0,1,1
55.8,10.2,0,1
55.8,10.4,3,5
55.8,10.6,2,5
55.8,10.8,0,0
55.8,11.0,1,0
55.8,11.2,1,0
55.8,11.4,2,0
55.8,11.6,4,5
55.8,11.8,2,4
55.8,12.0,8,3
55.8,12.2,6,5
55.8,12.4,12,10
55.8,12.6,4,5
55.8,12.8,2,2
56.0,8.0,1,1
56.0,8.2,5,3
56.0,8.4,4,0
56.0,8.6,2,2
56.0,8.8,5,10
56.0,9.0,6,2
56.0,9.2,2,0
56.0,9.4,8,4
56.0,9.6,7,2
56.0,9.8,3,5
56.0,10.0,12,11
56.0,10.2,11,18
56.0,10.4,2,2
56.0,10.6,7,0
56.0,10.8,0,0
56.0,11.0,0,0
56.0,11.2,0,0
56.0,11.4,0,0
56.0,11.6,0,0
56.0,11.8,0,0
56.0,12.0,0,3
56.0,12.2,5,4
56.0,12.4,8,5
56.0,12.6,16,22
56.0,12.8,1,2
56.2,8.0,3,1
56.2,8.2,4,1
56.2,8.4,0,0
56.2,8.6,5,2
56.2,8.8,1,0
56.2,9.0,1,2
56.2,9.2,2,2
56.2,9.4,1,1
56.2,9.6,3,3
56.2,9.8,1,1
56.2,10.0,1,2
56.2,10.2,1,1
56.2,10.4,1,1
56.2,10.6,1,4
56.2,10.8,0,2
56.2,11.0,0,0
56.2,11.2,0,0
56.2,11.4,0,0
56.2,11.6,0,0
56.2,11.8,0,0
56.2,12.0,0,0
56.2,12.2,0,0
56.2,12.4,4,6
56.2,12.6,0,1
56.2,12.8,8,6
56.4,8.0,3,0
56.4,8.2,4,3
56.4,8.4,3,1
56.4,8.6,2,1
56.4,8.8,2,0
56.4,9.0,3,3
56.4,9.2,2,0
56.4,9.4,5,5
56.4,9.6,0,0
56.4,9.8,0,0
56.4,10.0,3,3
56.4,10.2,4,0
56.4,10.4,1,0
56.4,10.6,2,0
56.4,10.8,3,5
56.4,11.0,0,0
56.4,11.2,0,0
56.4,11.4,0,0
56.4,11.6,0,0
56.4,11.8,0,0
56.4,12.0,0,0
56.4,12.2,0,0
56.4,12.4,1,0
56.4,12.6,1,1
56.4,12.8,0,3
56.6,8.0,0,1
56.6,8.2,9,5
56.6,8.4,4,2
56.6,8.6,2,0
56.6,8.8,5,3
56.6,9.0,3,1
56.6,9.2,1,0
56.6,9.4,2,3
56.6,9.6,3,0
56.6,9.8,6,3
56.6,10.0,4,3
56.6,10.2,0,1
56.6,10.4,0,0
56.6,10.6,0,0
56.6,10.8,0,0
56.6,11.0,0,0
56.6,11.2,0,0
56.6,11.4,1,1
56.6,11.6,0,0
56.6,11.8,0,0
56.6,12.0,0,0
56.6,12.2,0,0
56.6,12.4,0,0
56.6,12.6,3,2
56.6,12.8,3,9
56.8,8.0,0,0
56.8,8.2,5,3
56.8,8.4,1,1
56.8,8.6,2,5
56.8,8.8,2,0
56.8,9.0,4,3
56.8,9.2,2,2
